timestamp,ticker,price,dividend,pe_ratio,usd_ils
2021-02-24 00:00:00,ASML,568.02,0.0,,3.65
2021-02-25 00:00:00,ASML,534.38,0.0,,3.65
2021-02-26 00:00:00,ASML,541.37,0.0,,3.65
2021-03-01 00:00:00,ASML,557.08,0.0,,3.65
2021-03-02 00:00:00,ASML,537.6,0.0,,3.65
2021-03-03 00:00:00,ASML,518.94,0.0,,3.65
2021-03-04 00:00:00,ASML,487.34,0.0,,3.65
2021-03-05 00:00:00,ASML,503.13,0.0,,3.65
2021-03-08 00:00:00,ASML,479.41,0.0,,3.65
2021-03-09 00:00:00,ASML,515.05,0.0,,3.65
2021-03-10 00:00:00,ASML,499.59,0.0,,3.65
2021-03-11 00:00:00,ASML,519.71,0.0,,3.65
2021-03-12 00:00:00,ASML,513.24,0.0,,3.65
2021-03-15 00:00:00,ASML,522.37,0.0,,3.65
2021-03-16 00:00:00,ASML,524.46,0.0,,3.65
2021-03-17 00:00:00,ASML,534.19,0.0,,3.65
2021-03-18 00:00:00,ASML,514.73,0.0,,3.65
2021-03-19 00:00:00,ASML,522.59,0.0,,3.65
2021-03-22 00:00:00,ASML,549.86,0.0,,3.65
2021-03-23 00:00:00,ASML,533.52,0.0,,3.65
2021-03-24 00:00:00,ASML,552.34,0.0,,3.65
2021-03-25 00:00:00,ASML,557.51,0.0,,3.65
2021-03-26 00:00:00,ASML,597.29,0.0,,3.65
2021-03-29 00:00:00,ASML,580.42,0.0,,3.65
2021-03-30 00:00:00,ASML,574.01,0.0,,3.65
2021-03-31 00:00:00,ASML,589.36,0.0,,3.65
2021-04-01 00:00:00,ASML,608.2,0.0,,3.65
2021-04-05 00:00:00,ASML,611.44,0.0,,3.65
2021-04-06 00:00:00,ASML,599.51,0.0,,3.65
2021-04-07 00:00:00,ASML,598.14,0.0,,3.65
2021-04-08 00:00:00,ASML,610.85,0.0,,3.65
2021-04-09 00:00:00,ASML,605.55,0.0,,3.65
2021-04-12 00:00:00,ASML,601.83,0.0,,3.65
2021-04-13 00:00:00,ASML,600.58,0.0,,3.65
2021-04-14 00:00:00,ASML,602.37,0.0,,3.65
2021-04-15 00:00:00,ASML,612.96,0.0,,3.65
2021-04-16 00:00:00,ASML,616.4,0.0,,3.65
2021-04-19 00:00:00,ASML,601.53,0.0,,3.65
2021-04-20 00:00:00,ASML,588.96,0.0,,3.65
2021-04-21 00:00:00,ASML,625.76,0.0,,3.65
2021-04-22 00:00:00,ASML,617.74,0.0,,3.65
2021-04-23 00:00:00,ASML,640.48,0.0,,3.65
2021-04-26 00:00:00,ASML,640.03,0.0,,3.65
2021-04-27 00:00:00,ASML,642.29,0.0,,3.65
2021-04-28 00:00:00,ASML,635.16,0.0,,3.65
2021-04-29 00:00:00,ASML,632.43,0.0,,3.65
2021-04-30 00:00:00,ASML,618.7,0.0,,3.65
2021-05-03 00:00:00,ASML,626.55,1.87,,3.65
2021-05-04 00:00:00,ASML,602.21,0.0,,3.65
2021-05-05 00:00:00,ASML,614.54,0.0,,3.65
2021-05-06 00:00:00,ASML,616.89,0.0,,3.65
2021-05-07 00:00:00,ASML,630.52,0.0,,3.65
2021-05-10 00:00:00,ASML,600.54,0.0,,3.65
2021-05-11 00:00:00,ASML,603.79,0.0,,3.65
2021-05-12 00:00:00,ASML,576.24,0.0,,3.65
2021-05-13 00:00:00,ASML,596.55,0.0,,3.65
2021-05-14 00:00:00,ASML,620.17,0.0,,3.65
2021-05-17 00:00:00,ASML,608.29,0.0,,3.65
2021-05-18 00:00:00,ASML,605.26,0.0,,3.65
2021-05-19 00:00:00,ASML,603.91,0.0,,3.65
2021-05-20 00:00:00,ASML,621.13,0.0,,3.65
2021-05-21 00:00:00,ASML,611.99,0.0,,3.65
2021-05-24 00:00:00,ASML,630.88,0.0,,3.65
2021-05-25 00:00:00,ASML,643.65,0.0,,3.65
2021-05-26 00:00:00,ASML,637.41,0.0,,3.65
2021-05-27 00:00:00,ASML,636.76,0.0,,3.65
2021-05-28 00:00:00,ASML,646.7,0.0,,3.65
2021-06-01 00:00:00,ASML,643.18,0.0,,3.65
2021-06-02 00:00:00,ASML,645.37,0.0,,3.65
2021-06-03 00:00:00,ASML,637.52,0.0,,3.65
2021-06-04 00:00:00,ASML,654.19,0.0,,3.65
2021-06-07 00:00:00,ASML,652.93,0.0,,3.65
2021-06-08 00:00:00,ASML,651.73,0.0,,3.65
2021-06-09 00:00:00,ASML,653.51,0.0,,3.65
2021-06-10 00:00:00,ASML,670.12,0.0,,3.65
2021-06-11 00:00:00,ASML,667.34,0.0,,3.65
2021-06-14 00:00:00,ASML,679.11,0.0,,3.65
2021-06-15 00:00:00,ASML,671.89,0.0,,3.65
2021-06-16 00:00:00,ASML,669.27,0.0,,3.65
2021-06-17 00:00:00,ASML,669.06,0.0,,3.65
2021-06-18 00:00:00,ASML,642.48,0.0,,3.65
2021-06-21 00:00:00,ASML,651.66,0.0,,3.65
2021-06-22 00:00:00,ASML,656.6,0.0,,3.65
2021-06-23 00:00:00,ASML,652.61,0.0,,3.65
2021-06-24 00:00:00,ASML,665.39,0.0,,3.65
2021-06-25 00:00:00,ASML,656.98,0.0,,3.65
2021-06-28 00:00:00,ASML,674.12,0.0,,3.65
2021-06-29 00:00:00,ASML,673.7,0.0,,3.65
2021-06-30 00:00:00,ASML,661.41,0.0,,3.65
2021-07-01 00:00:00,ASML,650.37,0.0,,3.65
2021-07-02 00:00:00,ASML,658.25,0.0,,3.65
2021-07-06 00:00:00,ASML,656.65,0.0,,3.65
2021-07-07 00:00:00,ASML,660.78,0.0,,3.65
2021-07-08 00:00:00,ASML,644.99,0.0,,3.65
2021-07-09 00:00:00,ASML,661.91,0.0,,3.65
2021-07-12 00:00:00,ASML,677.66,0.0,,3.65
2021-07-13 00:00:00,ASML,676.33,0.0,,3.65
2021-07-14 00:00:00,ASML,685.99,0.0,,3.65
2021-07-15 00:00:00,ASML,673.95,0.0,,3.65
2021-07-16 00:00:00,ASML,658.14,0.0,,3.65
2021-07-19 00:00:00,ASML,654.86,0.0,,3.65
