timestamp,ASML,GOOGL,NVDA,TSLA,VOO,XOM
2021-02-24 00:00:00,568.019775390625,103.40916442871094,14.458340644836426,247.33999633789062,335.2388000488281,46.81642150878906
2021-02-25 00:00:00,534.37841796875,100.04161834716797,13.270181655883789,227.4066619873047,327.19659423828125,46.040283203125
2021-02-26 00:00:00,541.3662719726562,100.33738708496094,13.676040649414062,225.1666717529297,325.40020751953125,44.8925666809082
2021-03-01 00:00:00,557.0797119140625,102.70697784423828,13.802933692932129,239.47666931152344,333.3399963378906,46.56871795654297
2021-03-02 00:00:00,537.595458984375,102.44992065429688,13.368656158447266,228.81333923339844,330.7615966796875,46.29623794555664
2021-03-03 00:00:00,518.9420166015625,99.81632232666016,12.768843650817871,217.73333740234375,326.3961486816406,46.66779708862305
2021-03-04 00:00:00,487.3432312011719,100.93387603759766,12.335559844970703,207.14666748046875,322.3750305175781,48.476043701171875
2021-03-05 00:00:00,503.133056640625,104.06719207763672,12.426554679870605,199.31666564941406,328.2856750488281,50.30907440185547
2021-03-08 00:00:00,479.4103088378906,99.6222915649414,11.560738563537598,187.6666717529297,326.6753845214844,50.259525299072266
2021-03-09 00:00:00,515.047119140625,101.25296783447266,12.489449501037598,224.52667236328125,331.2457275390625,49.48337936401367
2021-03-10 00:00:00,499.5914306640625,101.04603576660156,12.437577247619629,222.68666076660156,333.29351806640625,51.00265121459961
2021-03-11 00:00:00,519.7055053710938,104.23939514160156,12.96153450012207,233.1999969482422,336.8118591308594,50.622833251953125
2021-03-12 00:00:00,513.2427368164062,101.7313461303711,12.824373245239258,231.2433319091797,337.28656005859375,51.167781829833984
2021-03-15 00:00:00,522.3689575195312,101.9516830444336,13.158795356750488,235.97999572753906,339.2413024902344,49.86319351196289
2021-03-16 00:00:00,524.4597778320312,103.41314697265625,13.258553504943848,225.6266632080078,338.8596496582031,48.80631637573242
2021-03-17 00:00:00,534.1875,103.33026885986328,13.308430671691895,233.93666076660156,339.96734619140625,49.0210075378418
2021-03-18 00:00:00,514.73193359375,100.30908966064453,12.691202163696289,217.72000122070312,334.9689025878906,46.90724563598633
2021-03-19 00:00:00,522.588623046875,100.5879898071289,12.81414794921875,218.2899932861328,334.37322998046875,46.64302444458008
2021-03-22 00:00:00,549.8626708984375,100.77307891845703,13.153810501098633,223.3333282470703,337.01666259765625,46.164119720458984
2021-03-23 00:00:00,533.5192260742188,101.30108642578125,13.038595199584961,220.72000122070312,334.5407409667969,45.59440994262695
2021-03-24 00:00:00,552.3350830078125,100.86439514160156,12.611895561218262,210.08999633789062,332.6884765625,46.519161224365234
2021-03-25 00:00:00,557.5093383789062,100.86093139648438,12.504414558410645,213.4633331298828,334.559326171875,46.38705825805664
2021-03-26 00:00:00,597.2890014648438,100.47733306884766,12.807662963867188,206.23666381835938,340.0171813964844,47.650367736816406
2021-03-29 00:00:00,580.4205322265625,101.52243041992188,12.916397094726562,203.76333618164062,339.811767578125,47.3943977355957
2021-03-30 00:00:00,574.0149536132812,101.5561752319336,12.840083122253418,211.8733367919922,338.9429931640625,46.808162689208984
2021-03-31 00:00:00,589.3560180664062,102.35265350341797,13.315411567687988,222.64332580566406,340.2881164550781,46.09807205200195
2021-04-01 00:00:00,608.20068359375,105.69043731689453,13.777771949768066,220.5833282470703,343.8936767578125,47.38614273071289
2021-04-05 00:00:00,611.4369506835938,110.11599731445312,13.95309066772461,230.35000610351562,348.85357666015625,46.65127944946289
2021-04-06 00:00:00,599.513427734375,109.63461303710938,13.827398300170898,230.5399932861328,348.6575012207031,46.519161224365234
2021-04-07 00:00:00,598.1387939453125,111.11197662353516,14.1087064743042,223.6566619873047,349.0965881347656,46.7255973815918
2021-04-08 00:00:00,610.8544921875,111.67769622802734,14.281780242919922,227.93333435058594,350.7966003417969,46.23843002319336
2021-04-09 00:00:00,605.5468139648438,112.6821060180664,14.36457633972168,225.67333984375,353.31866455078125,46.131099700927734
2021-04-12 00:00:00,601.8331909179688,111.3893814086914,15.17158317565918,233.9933319091797,353.4774475097656,45.825592041015625
2021-04-13 00:00:00,600.5824584960938,111.87619018554688,15.6409273147583,254.10667419433594,354.43951416015625,45.998992919921875
2021-04-14 00:00:00,602.3678588867188,111.2548828125,15.23941707611084,244.07666015625,353.29998779296875,47.32834243774414
2021-04-15 00:00:00,612.9642333984375,113.4056396484375,16.097553253173828,246.28334045410156,357.0924377441406,47.047611236572266
2021-04-16 00:00:00,616.4010620117188,113.28157043457031,15.873353958129883,246.5933380126953,358.3440246582031,46.78338623046875
2021-04-19 00:00:00,601.5276489257812,113.62944030761719,15.323958396911621,238.2100067138672,356.5786437988281,46.634765625
2021-04-20 00:00:00,588.9551391601562,113.09597778320312,15.133930206298828,239.663330078125,353.9631042480469,45.652198791503906
2021-04-21 00:00:00,625.7564697265625,113.06322479248047,15.322710990905762,248.0399932861328,357.28851318359375,46.23843002319336
2021-04-22 00:00:00,617.7374267578125,111.78140258789062,14.813716888427734,239.89666748046875,354.00982666015625,45.635684967041016
2021-04-23 00:00:00,640.4769897460938,114.13414001464844,15.227694511413574,243.13333129882812,357.7835693359375,45.883384704589844
2021-04-26 00:00:00,640.0283813476562,114.6303939819336,15.439921379089355,246.06666564941406,358.558837890625,45.97422409057617
2021-04-27 00:00:00,642.2908325195312,113.68999481201172,15.34390926361084,234.913330078125,358.44671630859375,46.57697296142578
2021-04-28 00:00:00,635.15966796875,117.06747436523438,15.239167213439941,231.46665954589844,358.2785949707031,47.98063659667969
